OrderNumber,SalesChannel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,SalesTeamID,CustomerNames,CityName,Region ,State,StateCode,ProductName,OrderQuantity,DiscountApplied,UnitPrice,UnitCost
SO - 000743,In-Store,WARE-UHY1004,4/10/2018,8/13/2018,8/17/2018,8/25/2018,USD,George Lewis,O.E. Ltd,Jackson,West,Mississippi,MS,Platters,4,"0,075","3845,8","2730,518"
SO - 000744,In-Store,WARE-NMK1003,4/10/2018,8/13/2018,9/7/2018,9/13/2018,USD,Joshua Little,Capweld ,Washington,South,District of Columbia,DC,Collectibles,3,"0,075","5246,1","3882,114"
SO - 000745,Online,WARE-PUJ1005,4/10/2018,8/13/2018,9/5/2018,9/9/2018,USD,Todd Roberts,Capweld ,Carrollton,West,Texas,TX,Ornaments,8,"0,1","763,8","404,814"
SO - 000746,Distributor,WARE-NMK1003,4/10/2018,8/14/2018,8/28/2018,9/7/2018,USD,Joe Price,Pure Group,Davie,Northeast,Florida,FL,Wall Frames,1,"0,4",3819,"2673,3"
SO - 000747,In-Store,WARE-PUJ1005,4/10/2018,8/14/2018,8/24/2018,9/2/2018,USD,Shawn Cook,O.E. Ltd,Salem,Midwest,Oregon,OR,Serveware,2,"0,15","2425,4","2013,082"
SO - 000748,Online,WARE-NBV1002,4/10/2018,8/14/2018,8/30/2018,9/3/2018,USD,Shawn Wallace,Apollo Ltd,Roseville,South,California,CA,Pillows,6,"0,05","1319,9","884,333"
SO - 000749,In-Store,WARE-NMK1003,4/10/2018,8/14/2018,9/6/2018,9/11/2018,USD,Joshua Little,"Elorac, Corp",Waterbury,South,Connecticut,CT,Wreaths,6,"0,15","1125,6","529,032"
SO - 000750,In-Store,WARE-XYS1001,4/10/2018,8/14/2018,9/5/2018,9/9/2018,USD,Jerry Green,Nipro ,Daly City,West,California,CA,Blankets,3,"0,1","6318,1","2590,421"
SO - 000751,In-Store,WARE-NMK1003,4/10/2018,8/14/2018,9/7/2018,9/8/2018,USD,Keith Griffin,"Elorac, Corp",Center,Northeast,Indiana,IN,Photo Frames,8,"0,05","3242,8","1459,26"
SO - 000752,Wholesale,WARE-NMK1003,4/10/2018,8/14/2018,8/31/2018,9/8/2018,USD,Donald Reynolds,E. Ltd,Naperville (Township),South,Illinois,IL,Bathroom Furniture,4,"0,15","1936,3","1142,417"
SO - 000753,Online,WARE-UHY1004,4/10/2018,8/14/2018,9/9/2018,9/12/2018,USD,Frank Brown,AuroMedics Corp,Rochester,Northeast,Minnesota,MN,Dinnerware,4,"0,05","3946,3","3038,651"
SO - 000754,Online,WARE-XYS1001,4/10/2018,8/14/2018,8/22/2018,9/1/2018,USD,Paul Holmes,Ascend Ltd,Scottsdale,Midwest,Arizona,AZ,Candles,6,"0,075","1078,7","442,267"
SO - 000755,Distributor,WARE-NMK1003,4/10/2018,8/15/2018,8/20/2018,8/24/2018,USD,Roy Rice,Llorens Ltd,Coral Springs,Midwest,Florida,FL,Cocktail Glasses,3,"0,075","5587,8","3967,338"
SO - 000756,Distributor,WARE-XYS1001,4/10/2018,8/15/2018,9/10/2018,9/16/2018,USD,Patrick Graham,Apollo Ltd,Moreno Valley,South,California,CA,Floral,1,"0,4","3108,8","1896,368"
SO - 000757,Wholesale,WARE-NMK1003,4/10/2018,8/15/2018,8/28/2018,9/5/2018,USD,Shawn Torres,Burt's Corp,Gainesville,Northeast,Florida,FL,Photo Frames,1,"0,05",871,"661,96"
SO - 000758,In-Store,WARE-PUJ1005,4/10/2018,8/15/2018,8/28/2018,9/4/2018,USD,Keith Griffin,Winthrop ,Cincinnati,Northeast,Ohio,OH,Dining Furniture,7,"0,1","1815,7","1543,345"
SO - 000759,Online,WARE-UHY1004,4/10/2018,8/15/2018,9/4/2018,9/9/2018,USD,Anthony Berry,Llorens Ltd,Durham,West,North Carolina,NC,Computers,7,"0,075","984,9","541,695"
SO - 000760,Distributor,WARE-MKL1006,4/10/2018,8/15/2018,9/12/2018,9/18/2018,USD,Joe Price,Ohio ,Norfolk,Northeast,Virginia,VA,Wall Coverings,3,"0,075","3926,2","1727,528"
SO - 000761,Online,WARE-PUJ1005,4/10/2018,8/16/2018,9/13/2018,9/14/2018,USD,Todd Roberts,Burt's Corp,Memphis,West,Tennessee,TN,Pendants,1,"0,075","234,5","126,63"
SO - 000762,In-Store,WARE-UHY1004,4/10/2018,8/16/2018,9/11/2018,9/17/2018,USD,George Lewis,Eminence Corp,New Orleans,West,Louisiana,LA,Stemware,8,"0,2","2552,7","1429,512"
SO - 000763,In-Store,WARE-UHY1004,4/10/2018,8/16/2018,8/23/2018,8/30/2018,USD,Keith Griffin,Ole Group,Independence,Northeast,Missouri,MO,Vases,4,"0,05","857,6","591,744"
SO - 000764,In-Store,WARE-NBV1002,4/10/2018,8/16/2018,8/29/2018,9/7/2018,USD,Adam Hernandez,Weimei Corp,San Diego,Northeast,California,CA,Rugs,3,"0,05","1065,3","553,956"
SO - 000765,Online,WARE-MKL1006,4/10/2018,8/16/2018,9/11/2018,9/20/2018,USD,Frank Brown,Dharma Ltd,Midland,Northeast,Texas,TX,Pendants,4,"0,2","1976,5","1581,2"
SO - 000766,In-Store,WARE-NMK1003,4/10/2018,8/16/2018,9/11/2018,9/18/2018,USD,Joshua Bennett,Wuxi Group,Coral Springs,Northeast,Florida,FL,Candleholders,2,"0,3","3839,1","2725,761"
SO - 000767,Online,WARE-UHY1004,4/10/2018,8/16/2018,9/10/2018,9/11/2018,USD,Anthony Berry,OHTA'S Corp,St. Paul,West,Minnesota,MN,Photo Frames,3,"0,05","3899,4","2807,568"
SO - 000768,In-Store,WARE-UHY1004,4/10/2018,8/16/2018,9/4/2018,9/8/2018,USD,Chris Armstrong,Procter Corp,Rochester,Northeast,Minnesota,MN,Photo Frames,6,"0,05","180,9","85,023"
SO - 000769,Wholesale,WARE-PUJ1005,4/10/2018,8/16/2018,9/8/2018,9/11/2018,USD,Patrick Graham,O.E. Ltd,Dayton,South,Ohio,OH,TV and video,6,"0,15","1226,1","588,528"
SO - 000770,Distributor,WARE-PUJ1005,4/10/2018,8/16/2018,9/3/2018,9/5/2018,USD,Roy Rice,Ole Group,Hempstead (Town),Midwest,New York,NY,Platters,8,"0,05","783,9","313,56"
SO - 000771,In-Store,WARE-UHY1004,4/10/2018,8/17/2018,9/8/2018,9/12/2018,USD,Shawn Cook,"Elorac, Corp",North Las Vegas,Midwest,Nevada,NV,Stemware,7,"0,15","978,2","489,1"
SO - 000772,Online,WARE-PUJ1005,4/10/2018,8/17/2018,9/5/2018,9/13/2018,USD,Anthony Berry,Linde ,Cleveland,West,Ohio,OH,Outdoor Furniture,6,"0,15","3169,1","1616,241"
SO - 000773,Online,WARE-NMK1003,4/10/2018,8/17/2018,9/9/2018,9/19/2018,USD,Shawn Wallace,Bare ,Denver,South,Colorado,CO,Bakeware,2,"0,1","3055,2","1497,048"
SO - 000774,Wholesale,WARE-NMK1003,4/10/2018,8/17/2018,9/12/2018,9/20/2018,USD,Carlos Miller,Pure Group,Lafayette,West,Louisiana,LA,Cookware,4,"0,1","2606,3","1563,78"
SO - 000775,In-Store,WARE-NMK1003,4/10/2018,8/17/2018,9/3/2018,9/12/2018,USD,Chris Armstrong,Trigen ,North,Northeast,Indiana,IN,Floral,7,"0,075","1045,2","794,352"
SO - 000776,In-Store,WARE-UHY1004,4/10/2018,8/17/2018,8/25/2018,9/3/2018,USD,Joshua Bennett,Qualitest ,Lowell,Northeast,Massachusetts,MA,Table Linens,8,"0,3","1909,5","1069,32"
SO - 000777,Distributor,WARE-NMK1003,4/10/2018,8/17/2018,9/14/2018,9/24/2018,USD,Douglas Tucker,Qualitest ,Bridgeport (Town),Midwest,Connecticut,CT,Table Lamps,3,"0,15","984,9","689,43"
SO - 000778,In-Store,WARE-NMK1003,4/10/2018,8/17/2018,9/9/2018,9/12/2018,USD,Adam Hernandez,Pure Group,Bloomingdale (Township),Northeast,Illinois,IL,Wardrobes,6,"0,075","1165,8","944,298"
SO - 000779,In-Store,WARE-NMK1003,4/10/2018,8/17/2018,8/30/2018,9/1/2018,USD,George Lewis,Apollo Ltd,Orlando,West,Florida,FL,Festive,7,"0,05","1748,7","944,298"
SO - 000780,In-Store,WARE-MKL1006,4/10/2018,8/17/2018,8/21/2018,8/25/2018,USD,Adam Hernandez,Apollo Ltd,Bellevue,Northeast,Washington,WA,Cocktail Glasses,3,"0,1",3819,"2024,07"
SO - 000781,Online,WARE-NMK1003,4/10/2018,8/17/2018,8/26/2018,8/28/2018,USD,Frank Brown,Capweld ,Washington,Northeast,Indiana,IN,Candles,1,"0,05","1145,7","744,705"
SO - 000782,In-Store,WARE-UHY1004,4/10/2018,8/17/2018,8/24/2018,8/29/2018,USD,George Lewis,Uriel Group,Detroit,West,Michigan,MI,Blankets,5,"0,15","3644,8","1968,192"
SO - 000783,In-Store,WARE-NMK1003,4/10/2018,8/17/2018,8/30/2018,9/9/2018,USD,Joshua Bennett,Ole Group,Peoria City,Northeast,Illinois,IL,Bakeware,5,"0,1","3865,9","3092,72"
SO - 000784,Distributor,WARE-XYS1001,4/10/2018,8/17/2018,9/11/2018,9/21/2018,USD,Samuel Fowler,Amylin Group,Scottsdale,Midwest,Arizona,AZ,Candles,6,"0,05","194,3","110,751"
SO - 000785,Online,WARE-NMK1003,4/10/2018,8/18/2018,9/6/2018,9/7/2018,USD,Anthony Berry,S.S.S. Group,Athens,West,Georgia,GA,Ornaments,2,"0,075","3363,4","1681,7"
SO - 000786,In-Store,WARE-XYS1001,4/10/2018,8/18/2018,8/30/2018,9/5/2018,USD,Joshua Ryan,Uriel Group,Murrieta,Midwest,California,CA,Rugs,5,"0,075","3008,3","2406,64"
SO - 000787,In-Store,WARE-UHY1004,4/10/2018,8/18/2018,9/9/2018,9/11/2018,USD,George Lewis,ETUDE Ltd,Manchester,West,New Hampshire,NH,Wreaths,1,"0,075","3055,2","2230,296"
SO - 000788,Wholesale,WARE-XYS1001,4/10/2018,8/18/2018,8/28/2018,9/2/2018,USD,Donald Reynolds,"Elorac, Corp",Oxnard,South,California,CA,Furniture Cushions,8,"0,1","1031,8","629,398"
SO - 000789,Distributor,WARE-NBV1002,4/10/2018,8/18/2018,9/3/2018,9/8/2018,USD,Samuel Fowler,Medsep Group,San Mateo,Midwest,California,CA,Table Lamps,7,"0,05","3939,6","2127,384"
SO - 000790,Distributor,WARE-NMK1003,4/10/2018,8/18/2018,8/31/2018,9/9/2018,USD,Douglas Tucker,Ole Group,West Palm Beach,Midwest,Florida,FL,Collectibles,4,"0,075",3886,"2720,2"
SO - 000791,In-Store,WARE-XYS1001,4/10/2018,8/18/2018,9/4/2018,9/7/2018,USD,Adam Hernandez,Pacific Ltd,Fremont,Northeast,California,CA,Serveware,2,"0,05","3108,8","1896,368"
SO - 000792,Online,WARE-UHY1004,4/10/2018,8/18/2018,9/15/2018,9/21/2018,USD,Carl Nguyen,S.S.S. Group,St. Louis,Midwest,Missouri,MO,Ornaments,1,"0,075","1011,7","505,85"
SO - 000793,Online,WARE-UHY1004,4/10/2018,8/18/2018,9/15/2018,9/23/2018,USD,Carl Nguyen,Rochester Ltd,Amherst,Midwest,New York,NY,Vanities,5,"0,3","2552,7","1327,404"
SO - 000794,In-Store,WARE-NMK1003,4/10/2018,8/18/2018,9/14/2018,9/17/2018,USD,Jonathan Hawkins,Llorens Ltd,Lisle (Township),West,Illinois,IL,Furniture Cushions,5,"0,1",1675,"954,75"
SO - 000795,Distributor,WARE-NMK1003,4/10/2018,8/19/2018,9/8/2018,9/10/2018,USD,Roy Rice,Nipro ,Capital,Midwest,Illinois,IL,Bar Tools,5,"0,05",1139,"831,47"
SO - 000796,Wholesale,WARE-NMK1003,4/10/2018,8/19/2018,8/26/2018,8/31/2018,USD,Patrick Graham,Wuxi Group,Lakeland,South,Florida,FL,Sculptures,7,"0,4","6338,2","3802,92"
SO - 000797,Online,WARE-UHY1004,4/10/2018,8/19/2018,8/28/2018,9/7/2018,USD,Anthony Berry,Pacific Ltd,Amherst,West,New York,NY,Photo Frames,3,"0,05","2231,1","1874,124"
SO - 000798,Distributor,WARE-NBV1002,4/10/2018,8/19/2018,9/5/2018,9/8/2018,USD,Samuel Fowler,Avon Corp,Simi Valley,Midwest,California,CA,Bean Bags,6,"0,2","2311,5","1525,59"
SO - 000799,Online,WARE-XYS1001,4/10/2018,8/19/2018,9/9/2018,9/12/2018,USD,Nicholas Cunningham,Ole Group,Antioch,South,California,CA,Outdoor Decor,7,"0,05","3832,4","2835,976"
SO - 000800,Online,WARE-PUJ1005,4/10/2018,8/19/2018,9/6/2018,9/12/2018,USD,Anthony Berry,Ei ,Laredo,West,Texas,TX,Floor Lamps,6,"0,1",1005,"793,95"
SO - 000801,In-Store,WARE-XYS1001,4/10/2018,8/19/2018,8/24/2018,8/31/2018,USD,Stephen Payne,Trigen ,Anaheim,South,California,CA,Bedroom Furniture,8,"0,15","1065,3","671,139"
SO - 000802,In-Store,WARE-NMK1003,4/10/2018,8/19/2018,9/6/2018,9/15/2018,USD,Joshua Little,Sundial ,Palatine (Township),South,Illinois,IL,Stemware,3,"0,1","1889,4","1454,838"
SO - 000803,Online,WARE-PUJ1005,4/10/2018,8/20/2018,9/14/2018,9/22/2018,USD,Frank Brown,"3LAB, Ltd",Rochester,Northeast,New York,NY,Serveware,4,"0,1","167,5","108,875"
SO - 000804,In-Store,WARE-PUJ1005,4/10/2018,8/20/2018,9/3/2018,9/10/2018,USD,Joshua Little,Ole Group,Akron,South,Ohio,OH,Platters,3,"0,075",6030,"2472,3"
SO - 000805,In-Store,WARE-PUJ1005,4/10/2018,8/20/2018,9/17/2018,9/26/2018,USD,Stephen Payne,Winthrop ,Clarksville,South,Tennessee,TN,Table Linens,2,"0,1","837,5","527,625"
SO - 000806,In-Store,WARE-NBV1002,4/10/2018,8/20/2018,9/2/2018,9/12/2018,USD,Jerry Green,New Ltd,Santa Maria,West,California,CA,Home Fragrances,6,"0,1","1782,2","1051,498"
SO - 000807,Online,WARE-NMK1003,4/10/2018,8/20/2018,9/10/2018,9/16/2018,USD,Frank Brown,"Apotheca, Ltd",Rockford,Northeast,Illinois,IL,Pendants,8,"0,075","998,3","439,252"
SO - 000808,In-Store,WARE-PUJ1005,4/10/2018,8/20/2018,9/9/2018,9/12/2018,USD,Joshua Little,Uriel Group,Fort Worth,South,Texas,TX,Vanities,4,"0,15","3999,9","2679,933"
SO - 000809,Online,WARE-PUJ1005,4/10/2018,8/21/2018,9/12/2018,9/13/2018,USD,Carl Nguyen,Uriel Group,Murfreesboro,Midwest,Tennessee,TN,Table Linens,8,"0,15","1896,1","1118,699"
SO - 000810,Distributor,WARE-NMK1003,4/10/2018,8/21/2018,9/15/2018,9/25/2018,USD,Roy Rice,Amylin Group,Aurora,Midwest,Illinois,IL,Table Linens,2,"0,075","1038,5","477,71"
SO - 000811,Distributor,WARE-NMK1003,4/10/2018,8/21/2018,8/30/2018,8/31/2018,USD,Roy Rice,"Exact-Rx, Corp",Peoria,Midwest,Illinois,IL,Serveware,2,"0,05","3839,1","3071,28"
SO - 000812,In-Store,WARE-NMK1003,4/10/2018,8/21/2018,9/11/2018,9/21/2018,USD,Chris Armstrong,Procter Corp,Orlando,Northeast,Florida,FL,Candleholders,1,"0,1","743,7","535,464"
SO - 000813,Wholesale,WARE-NMK1003,4/10/2018,8/21/2018,9/9/2018,9/19/2018,USD,Donald Reynolds,Pacific Ltd,Boulder,South,Colorado,CO,Audio,6,"0,15","2445,5","1100,475"
SO - 000814,In-Store,WARE-PUJ1005,4/10/2018,8/21/2018,9/5/2018,9/8/2018,USD,George Lewis,Llorens Ltd,Charleston,West,South Carolina,SC,Sculptures,7,"0,2",2613,"1463,28"
SO - 000815,In-Store,WARE-NMK1003,4/10/2018,8/21/2018,8/23/2018,8/31/2018,USD,Adam Hernandez,Linde ,Louisville,Northeast,Kentucky,KY,Wall Frames,8,"0,1","187,6","127,568"
SO - 000816,Online,WARE-NMK1003,4/10/2018,8/21/2018,9/13/2018,9/17/2018,USD,Anthony Torres,OUR Ltd,Wichita,West,Kansas,KS,Mirrors,2,"0,05",5494,"3845,8"
SO - 000817,In-Store,WARE-UHY1004,4/10/2018,8/21/2018,9/18/2018,9/21/2018,USD,Joshua Little,Pacific Ltd,Charlotte,South,North Carolina,NC,Clocks,2,"0,2","5782,1","4625,68"
SO - 000818,Distributor,WARE-XYS1001,4/10/2018,8/21/2018,8/27/2018,8/29/2018,USD,Douglas Tucker,Llorens Ltd,Escondido,Midwest,California,CA,Serveware,5,"0,075","3872,6","2052,478"
SO - 000819,Wholesale,WARE-PUJ1005,4/10/2018,8/22/2018,9/9/2018,9/14/2018,USD,Donald Reynolds,Capweld ,Brooklyn,South,New York,NY,Bar Tools,5,"0,075","6445,4","3544,97"
SO - 000820,Online,WARE-NMK1003,7/19/2018,8/22/2018,9/18/2018,9/25/2018,USD,Frank Brown,Llorens Ltd,Denver,Northeast,Colorado,CO,Computers,7,"0,05","227,8","93,398"
SO - 000821,Wholesale,WARE-XYS1001,4/10/2018,8/22/2018,8/31/2018,9/1/2018,USD,Donald Reynolds,Apollo Ltd,Chula Vista,South,California,CA,Wardrobes,5,"0,15","247,9","151,219"
SO - 000822,Online,WARE-NMK1003,4/10/2018,8/22/2018,8/25/2018,9/3/2018,USD,Shawn Wallace,AuroMedics Corp,Westminster,South,Colorado,CO,Candleholders,8,"0,075","1031,8","763,532"
SO - 000823,Online,WARE-MKL1006,7/19/2018,8/22/2018,8/24/2018,8/30/2018,USD,Paul Holmes,Nipro ,Newport News,Midwest,Virginia,VA,Wardrobes,3,"0,05","2237,8","1499,326"
SO - 000824,In-Store,WARE-NMK1003,4/10/2018,8/22/2018,9/12/2018,9/15/2018,USD,George Lewis,Apollo Ltd,Hialeah,West,Florida,FL,Wardrobes,5,"0,1","1179,2","825,44"
SO - 000825,In-Store,WARE-UHY1004,4/10/2018,8/22/2018,9/6/2018,9/7/2018,USD,Stephen Payne,Sundial ,Fargo,South,North Dakota,ND,Floral,7,"0,075","2378,5","1546,025"
SO - 000826,Online,WARE-NMK1003,4/10/2018,8/22/2018,9/14/2018,9/15/2018,USD,Carl Nguyen,Bare ,Spring Hill,Midwest,Florida,FL,Collectibles,1,"0,05","1025,1","768,825"
SO - 000827,Distributor,WARE-NMK1003,4/10/2018,8/22/2018,8/24/2018,9/3/2018,USD,Samuel Fowler,Winthrop ,Tallahassee,Midwest,Florida,FL,Photo Frames,6,"0,05","1802,3","720,92"
SO - 000828,Online,WARE-NMK1003,4/10/2018,8/22/2018,8/30/2018,9/5/2018,USD,Roger Alexander,Wuxi Group,Gainesville,Midwest,Florida,FL,Floor Lamps,6,"0,075","1916,2","1015,586"
SO - 000829,In-Store,WARE-NBV1002,4/10/2018,8/23/2018,9/10/2018,9/17/2018,USD,Carl Nguyen,Trigen ,Simi Valley,Midwest,California,CA,Pendants,6,"0,2","3021,7","1661,935"
SO - 000830,Distributor,WARE-NBV1002,4/10/2018,8/23/2018,9/20/2018,9/28/2018,USD,Douglas Tucker,E. Ltd,Santa Rosa,Midwest,California,CA,Sculptures,3,"0,4","2251,2","1710,912"
SO - 000831,In-Store,WARE-NMK1003,4/10/2018,8/23/2018,9/7/2018,9/8/2018,USD,Carl Nguyen,Medsep Group,Chicago,Midwest,Illinois,IL,Computers,4,"0,075","2619,7","1074,077"
SO - 000832,Online,WARE-UHY1004,4/10/2018,8/23/2018,8/26/2018,8/30/2018,USD,Todd Roberts,Trigen ,Jackson,West,Mississippi,MS,Pendants,2,"0,075",2010,"884,4"
SO - 000833,In-Store,WARE-NMK1003,4/10/2018,8/23/2018,8/25/2018,8/30/2018,USD,George Lewis,Uriel Group,West Covina,West,California,CA,Bakeware,6,"0,4","1145,7","687,42"
SO - 000834,Online,WARE-UHY1004,4/10/2018,8/23/2018,9/17/2018,9/21/2018,USD,Anthony Berry,"Exact-Rx, Corp",Las Vegas,West,Nevada,NV,Dinnerware,3,"0,15",3618,"1447,2"
SO - 000835,In-Store,WARE-UHY1004,4/10/2018,8/23/2018,9/8/2018,9/14/2018,USD,Joshua Ryan,Qualitest ,Sterling Heights,Midwest,Michigan,MI,Outdoor Furniture,5,"0,05",3551,"2982,84"
SO - 000836,Online,WARE-UHY1004,4/10/2018,8/23/2018,8/25/2018,9/3/2018,USD,Todd Roberts,"Elorac, Corp",Columbia,West,Missouri,MO,Table Lamps,5,"0,075","944,7","736,866"
SO - 000837,In-Store,WARE-XYS1001,4/10/2018,8/23/2018,9/3/2018,9/9/2018,USD,Joshua Little,Mylan Corp,East Los Angeles,South,California,CA,Photo Frames,4,"0,075","174,2","74,906"
SO - 000838,Online,WARE-XYS1001,4/10/2018,8/23/2018,9/16/2018,9/25/2018,USD,Todd Roberts,"Elorac, Corp",Antioch,West,California,CA,Wall Coverings,4,"0,075",1809,"1465,29"
SO - 000839,Online,WARE-XYS1001,4/10/2018,8/24/2018,9/1/2018,9/3/2018,USD,Paul Holmes,Qualitest ,Oxnard,Midwest,California,CA,Clocks,8,"0,05","3993,2","1876,804"
SO - 000840,Online,WARE-NMK1003,4/10/2018,8/24/2018,9/19/2018,9/29/2018,USD,Anthony Berry,E. Ltd,Aurora,West,Colorado,CO,Dining Furniture,6,"0,075",1005,"793,95"
SO - 000841,In-Store,WARE-NMK1003,7/19/2018,8/24/2018,8/28/2018,9/3/2018,USD,George Lewis,Rochester Ltd,Cedar Rapids,West,Iowa,IA,Serveware,8,"0,075",3819,"2176,83"
SO - 000842,In-Store,WARE-UHY1004,4/10/2018,8/24/2018,9/12/2018,9/16/2018,USD,Stephen Payne,Bare ,Grand Rapids,South,Michigan,MI,Sculptures,2,"0,05","2251,2","968,016"
SO - 000843,In-Store,WARE-NMK1003,4/10/2018,8/24/2018,8/28/2018,9/4/2018,USD,Joshua Bennett,Avon Corp,Hartford (Town),Northeast,Connecticut,CT,Wall Coverings,8,"0,05","964,8","665,712"
SO - 000844,In-Store,WARE-PUJ1005,4/10/2018,8/24/2018,8/28/2018,9/5/2018,USD,Jerry Green,Trigen ,Abilene,West,Texas,TX,Outdoor Furniture,2,"0,05","1018,4","733,248"
SO - 000845,Wholesale,WARE-MKL1006,4/10/2018,8/25/2018,9/4/2018,9/13/2018,USD,Shawn Torres,Uriel Group,McKinney,Northeast,Texas,TX,Dining Furniture,7,"0,075","261,3","117,585"
SO - 000846,Online,WARE-NMK1003,4/10/2018,8/25/2018,9/13/2018,9/16/2018,USD,Roger Alexander,Wuxi Group,Kansas City,Midwest,Kansas,KS,Candleholders,1,"0,075","2887,7","1530,481"
SO - 000847,In-Store,WARE-NMK1003,4/10/2018,8/25/2018,9/14/2018,9/22/2018,USD,Jonathan Hawkins,WakeFern ,Macon,West,Georgia,GA,Dining Furniture,1,"0,1","1098,8","857,064"
SO - 000848,Online,WARE-XYS1001,4/10/2018,8/25/2018,9/5/2018,9/6/2018,USD,Carl Nguyen,O.E. Ltd,Birmingham,Midwest,Alabama,AL,Outdoor Decor,5,"0,05","2217,7","1596,744"
SO - 000849,In-Store,WARE-NMK1003,4/10/2018,8/25/2018,8/30/2018,9/6/2018,USD,Jerry Green,"3LAB, Ltd",Centennial,West,Colorado,CO,Wall Frames,1,"0,075","254,6","165,49"
SO - 000850,Wholesale,WARE-NBV1002,4/10/2018,8/25/2018,9/7/2018,9/8/2018,USD,Patrick Graham,Sundial ,Pomona,South,California,CA,Bean Bags,4,"0,075","2432,1","2018,643"
SO - 000851,In-Store,WARE-UHY1004,4/10/2018,8/25/2018,8/29/2018,8/30/2018,USD,Keith Griffin,Rochester Ltd,Winston-Salem,Northeast,North Carolina,NC,Platters,4,"0,075","2499,1","1624,415"
SO - 000852,In-Store,WARE-MKL1006,4/10/2018,8/25/2018,9/1/2018,9/10/2018,USD,Keith Griffin,Qualitest ,Seattle,Northeast,Washington,WA,Wall Coverings,8,"0,15","3564,4","1497,048"
SO - 000853,In-Store,WARE-NMK1003,4/10/2018,8/25/2018,9/9/2018,9/14/2018,USD,Adam Hernandez,Pure Group,Cape Coral,Northeast,Florida,FL,Wall Frames,8,"0,075","2532,6","1595,538"
SO - 000854,Wholesale,WARE-NMK1003,4/10/2018,8/26/2018,9/23/2018,9/29/2018,USD,Donald Reynolds,Eminence Corp,West Covina,South,California,CA,Platters,5,"0,1","1768,8","1043,592"
SO - 000855,Distributor,WARE-PUJ1005,4/10/2018,8/26/2018,9/17/2018,9/27/2018,USD,Joe Price,Medline ,Houston,Northeast,Texas,TX,Wardrobes,4,"0,05","2445,5","1222,75"
SO - 000856,Wholesale,WARE-XYS1001,7/19/2018,8/26/2018,9/1/2018,9/8/2018,USD,Shawn Torres,S.S.S. Group,Los Angeles,Northeast,California,CA,Platters,4,"0,075","5855,8","4567,524"
SO - 000857,Online,WARE-UHY1004,4/10/2018,8/26/2018,9/13/2018,9/18/2018,USD,Nicholas Cunningham,O.E. Ltd,Worcester,South,Massachusetts,MA,Wall Frames,3,"0,3","3979,8","3223,638"
SO - 000858,Online,WARE-UHY1004,4/10/2018,8/26/2018,9/3/2018,9/7/2018,USD,Todd Roberts,Linde ,Independence,West,Missouri,MO,Wall Frames,8,"0,05","964,8","443,808"
SO - 000859,In-Store,WARE-UHY1004,4/10/2018,8/27/2018,8/29/2018,8/30/2018,USD,Chris Armstrong,"Apotheca, Ltd",Kansas City,Northeast,Missouri,MO,Wall Frames,3,"0,075","247,9","158,656"
SO - 000860,In-Store,WARE-UHY1004,4/10/2018,8/27/2018,8/30/2018,9/2/2018,USD,Jerry Green,"Apotheca, Ltd",Reno,West,Nevada,NV,Bakeware,7,"0,1","3189,2","2264,332"
SO - 000861,Online,WARE-PUJ1005,4/10/2018,8/27/2018,9/20/2018,9/29/2018,USD,Anthony Torres,Sundial ,Brownsville,West,Texas,TX,Phones,3,"0,1","5339,9","2830,147"
SO - 000862,Distributor,WARE-XYS1001,4/10/2018,8/27/2018,9/15/2018,9/22/2018,USD,Roy Rice,Niconovum Corp,Fremont,Midwest,California,CA,Photo Frames,2,"0,15",1139,"717,57"
SO - 000863,Online,WARE-NMK1003,4/10/2018,8/27/2018,9/5/2018,9/14/2018,USD,Roger Alexander,Ole Group,Savannah,Midwest,Georgia,GA,Rugs,5,"0,05","207,7","91,388"
SO - 000864,Online,WARE-PUJ1005,7/19/2018,8/27/2018,9/5/2018,9/14/2018,USD,Todd Roberts,Weimei Corp,Clarksville,West,Tennessee,TN,Clocks,6,"0,075",2345,"1242,85"
SO - 000865,In-Store,WARE-NMK1003,4/10/2018,8/27/2018,8/30/2018,9/2/2018,USD,Joshua Ryan,Victory Ltd,Lakewood,Midwest,Colorado,CO,Pillows,4,"0,05","2432,1","1824,075"
SO - 000866,In-Store,WARE-UHY1004,4/10/2018,8/27/2018,9/19/2018,9/27/2018,USD,George Lewis,Ohio ,Las Cruces,West,New Mexico,NM,Bean Bags,6,"0,075","1112,2","578,344"
SO - 000867,Online,WARE-NMK1003,4/10/2018,8/27/2018,9/5/2018,9/7/2018,USD,Nicholas Cunningham,OHTA'S Corp,Honolulu,South,Hawaii,HI,Table Lamps,7,"0,075","1098,8","670,268"
SO - 000868,Distributor,WARE-PUJ1005,4/10/2018,8/27/2018,9/2/2018,9/12/2018,USD,Roy Rice,Prasco Group,Abilene,Midwest,Texas,TX,Table Lamps,5,"0,05","1159,1","741,824"
SO - 000869,Distributor,WARE-NMK1003,4/10/2018,8/27/2018,9/19/2018,9/24/2018,USD,Samuel Fowler,Prasco Group,Elgin (Township),Midwest,Illinois,IL,Wine Storage,8,"0,05","2666,6","1253,302"
